SampID,control_YN,Site,Plant_species,Site_lat,Site_long,Site_elevation,Site_invasion_level,Soil_type,Plant_rep_ID,Plant_rep_group,dist_from_vetch_m,Weighted_NODF,NODF,NODFc,Mean_Seed_Mass,Mean_Total_Seeds,Ratio_250_Log,Ind_Nestedness_Contribution,Pollinator_Richness,Pollinator_Abundance,Native_Pollinator_Abundance,Honeybee_Abundance,Bombus_Abundance,Network_Plant_Richness,Site_Plant_Richness,Mean_Floral_Abundance
A_V_4. ,no,Aikawa,Vetch,385114.89,122233980,2167,Medium,Serptentine,4,4,NA,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,3.1467723,16,80,49,31,25,26,43,486.9167
A_V_6. ,no,Aikawa,Vetch,385114.89,122233980,2167,Medium,Serptentine,6,5,NA,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,3.1467723,16,80,49,31,25,26,43,486.9167
A_V_14. ,no,Aikawa,Vetch,385114.89,122233980,2167,Medium,Serptentine,14,6,NA,14.54812,23.5088,3.408438,0.00532,2.7,0.5475,3.1467723,16,80,49,31,25,26,43,486.9167
B_T_50_3. ,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,3,2,50,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_50_4.,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,4,3,50,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_50_8.,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,8,4,50,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_50_9.,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,9,5,50,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_T_50_10.,no,Bertha,Clover,385155.55,1222414.42,2136,Low,Serptentine,10,6,50,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,1.35563,9,25,20,5,7,21,45,151.4783
B_V_8.,no,Bertha,Vetch,385154.91,1222415.43,2133,Low,Nonserpentine,8,1,NA,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,-0.7821443,14,58,46,12,25,21,45,369.3333
B_V_15.,no,Bertha,Vetch,385154.91,1222415.43,2133,Low,Nonserpentine,15,6,NA,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,-0.7821443,14,58,46,12,25,21,45,369.3333
blank_1.,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blank_2.,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control_1.,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control_4.,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G_V_1.,no,Goatgrass,Vetch,385146.74,1222425.62,2111,Low,Nonserpentine,1,2,NA,16.97873,29.83562,3.536853,0.00292,1.22,4.04,2.3486201,14,134,97,37,50,33,45,1208.33333
G_V_2.,no,Goatgrass,Vetch,385146.74,1222425.62,2111,Low,Nonserpentine,2,3,NA,16.97873,29.83562,3.536853,0.00292,1.22,4.04,2.3486201,14,134,97,37,50,33,45,1208.33333
G_V_4.,no,Goatgrass,Vetch,385146.74,1222425.62,2111,Low,Nonserpentine,4,4,NA,16.97873,29.83562,3.536853,0.00292,1.22,4.04,2.3486201,14,134,97,37,50,33,45,1208.33333
G_V_11.,no,Goatgrass,Vetch,385146.74,1222425.62,2111,Low,Nonserpentine,11,5,NA,16.97873,29.83562,3.536853,0.00292,1.22,4.04,2.3486201,14,134,97,37,50,33,45,1208.33333
G_V_13.,no,Goatgrass,Vetch,385146.74,1222425.62,2111,Low,Nonserpentine,13,6,NA,16.97873,29.83562,3.536853,0.00292,1.22,4.04,2.3486201,14,134,97,37,50,33,45,1208.33333
L_T_50_3.,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,3,6,50,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_V_1.,no,Long,Vetch,385125.92,1222353.73,2212,High,Nonserpentine,1,1,NA,13.25361,21.29052,3.161689,0.00329,2.42,1.42,4.3810426,24,507,247,260,134,20,47,5665.84615
L7.,no,Long,Goldfield,385128.38,1222352.69,2236,High,Serptentine,7,5,NA,13.25361,21.29052,3.161689,0.00329,2.42,1.42,5.51902949,26,126,126,0,0,20,47,3687.45833
L14.,no,Long,Goldfield,385128.38,1222352.69,2236,High,Serptentine,14,6,NA,13.25361,21.29052,3.161689,0.00329,2.42,1.42,5.51902949,26,126,126,0,0,20,47,3687.45833
Q_V_3.,no,Quarry,Vetch,385154.63,1223531.77,2247,Medium,Nonserpentine,3,3,NA,7.77575,18.33997,2.590552,0.00459,1.66,0.635,-0.7802166,7,22,15,7,0,21,36,532.5
Q_V_4.,no,Quarry,Vetch,385154.63,1223531.77,2247,Medium,Nonserpentine,4,4,NA,7.77575,18.33997,2.590552,0.00459,1.66,0.635,-0.7802166,7,22,15,7,0,21,36,532.5
Q_V_10.,no,Quarry,Vetch,385154.63,1223531.77,2247,Medium,Nonserpentine,10,5,NA,7.77575,18.33997,2.590552,0.00459,1.66,0.635,-0.7802166,7,22,15,7,0,21,36,532.5
R_V_3.,no,Rock,Vetch,384940.16,1222044.09,1492,High,Nonserpentine,3,2,NA,17.83504,38.56153,2.268061,0.0041,1.64,3.86,2.3880674,10,41,21,20,2,7,22,503.3333
R_V_4.,no,Rock,Vetch,384940.16,1222044.09,1492,High,Nonserpentine,4,3,NA,17.83504,38.56153,2.268061,0.0041,1.64,3.86,2.3880674,10,41,21,20,2,7,22,503.3333
R_V_7.,no,Rock,Vetch,384940.16,1222044.09,1492,High,Nonserpentine,7,4,NA,17.83504,38.56153,2.268061,0.0041,1.64,3.86,2.3880674,10,41,21,20,2,7,22,503.3333
R_V_8.,no,Rock,Vetch,384940.16,1222044.09,1492,High,Nonserpentine,8,5,NA,17.83504,38.56153,2.268061,0.0041,1.64,3.86,2.3880674,10,41,21,20,2,7,22,503.3333
R_V_10.,no,Rock,Vetch,384940.16,1222044.09,1492,High,Nonserpentine,10,6,NA,17.83504,38.56153,2.268061,0.0041,1.64,3.86,2.3880674,10,41,21,20,2,7,22,503.3333
R_V_14.,no,Rock,Vetch,384940.16,1222044.09,1492,High,Nonserpentine,14,7,NA,17.83504,38.56153,2.268061,0.0041,1.64,3.86,2.3880674,10,41,21,20,2,7,22,503.3333